Month,JUNCTION_RELATED,ROADWAY_RELATED,WEATHER_COND,ROAD_COND,LIGHT_COND,CRASH_SEVERITY,COLLISION_TYPE
March,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,UNKNOWN,ROLL OVER
FEBRUARY,NON-JUNCTION,OUTSIDE RIGHT-OF-WAY (TRAFFICWAY),BLOWING SNOW,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
September,ENTRANCE/EXIT RAMP,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
September,NON-JUNCTION,ROADSIDE LEFT,CLOUDY,DRY,DARK-NOT LIGHTED,UNKNOWN,FIXED OBJECT
October,NON-JUNCTION,SHOULDER,CLOUDY,MUD DIRT GRAVEL,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),OTHER
December,NON-JUNCTION,SHOULDER,CLOUDY,ICE/FROST,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
JUNE,NON-JUNCTION,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INCAPACITATING EVIDENT INJURY ACCIDENT,ROLL OVER
May,ENTRANCE/EXIT RAMP,ROADSIDE RIGHT,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
April,NON-JUNCTION,SHOULDER,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
JULY,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
MARCH,NON-JUNCTION,ROADSIDE LEFT,CLEAR,DRY,DARK-LIGHTED,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),FIXED OBJECT
February,NON-JUNCTION,ON ROADWAY,CLOUDY,SNOW,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),NOT FIXED OBJECT OR DEBRIS
July,NON-JUNCTION,ON ROADWAY,CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),WILD ANIMAL
December,OTHER LOCATION,OUTSIDE RIGHT-OF-WAY (TRAFFICWAY),CLEAR,DRY,DAYLIGHT,NON-INJURY ACCIDENT (PROPERTY- DAMAGE-ONLY ACCIDENT),ROLL OVER
